Field Name, Units, Description
a,1/m,"Total absorption coefficient (aw + ap + ag)"
a*ph,m^2/mg,"Chlorophyll a specific absorption coefficient"
a*srfa,m^2/mg,"Specific absorption coefficient of Suwanee River Fulvic Acid standard"
aaer,1/m,"Absorption coefficient of atmospheric aerosols"
abs,unitless,"Absorbance"
abs*,m^2/mg,"Carbon specific absorbance"
abs_ad,unitless,"Absorbance (Optical Density) of non-algal detritus"
abs_ag,unitless,"Absorbance (Optical Density) of Gelbstoff"
abs_ap,unitless,"Absorbance (Optical Density) of particles (ad + aph)"
abs_blank_ad,unitless,"Absorbance of a blank (or unused) filter pad for non-algal detritus."
abs_blank_ag,unitless,"Absorbance of a blank (or unused) filter pad for Gelbstoff."
abs_blank_ap,unitless,"Absorbance of a blank (or unused) filter pad for particles."
abs_nacl,unitless,"Absorbance of NaCl solution (use with the _###ppt suffix)"
abundance,none,"Number of cells observed (to specify a particular taxonomic type, see ""_abun"" in Table of Field Name Suffixes)"
ad,1/m,"Absorption coefficient of non-algal detritus"
ad_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of non-algal detritus (ad) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
adg,1/m,"Absorption coefficient of non-algal detritus + Gelbstoff (ad + ag)"
ag,1/m,"Absorption coefficient of Gelbstoff"
agp,1/m,"Absorption coefficient of Gelbstoff + particles (ag + ap)"
Allo,mg/m^3,"HPLC Alloxanthin"
alpha-beta-Car,mg/m^3,"HPLC Alpha (Beta,epsilon) + Beta (Beta,beta) Carotenes"
altitude,m,"Altitude above sea level"
am,unitless,"Airmass"
AMC,umol,"Concentration of 7-Amino-4-methylcoumarin's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry)."
AMC-Leu,umol/L/hr,"Rate of substrate cleavage for L-Leucine-7-amido-4-methylcoumarin hydrochloride"
angstrom,unitless,"Angstrom exponent"
Anth,mg/m^3,"HPLC Antheraxanthin"
AOT,unitless,"Aerosol Optical Thickness (sometimes referred to as tau or taua)"
ap,1/m,"Absorption coefficient of particles (ad + aph)"
ap_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of particles (ap) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
aph,1/m,"Absorption coefficient of phytoplankton"
aph_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of phytoplankton (aph) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's "" Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
asrfa,1/m,"Absorption coefficient of Suwanee River Fulvic Acid standard"
associated_file_types,none,"File type of an associated file. Please contact SeaBASS staff before using this field to verify that your file type is supported. Valid entries for this field are: DNA-FASTQ, DNA-FASTA (for files relating to DNA analysis), BENTHIC (for images relating to benthic type and cover), and PLANKTONIC (for images relating to flow cam imagery or phytoplankton taxonomic types). If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_files"
associated_files,none,"File name of an associated file. Must be used with associated_file_type. Please include the file suffix in the entry. If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_file_type If individual files are referenced but are part of a TAR archive bundle, be sure to use the associated_archives and associated_archive_types headers."
Asta,mg/m^3,"HPLC Astaxanthin"
At,degreesC,"Air temperature"
aw,1/m,"Absorption coefficient of water"
b,1/m,"Total scattering coefficient (bw + bp)"
bact_abun,cells/L,"Bacterioplankton abundance"
bactP,pmol/L/hr   ,"Bacterioplankton production"
bb,1/m,"Total backscattering coefficient (bbw + bbp)"
bbp,1/m,"Backscattering coefficient of particles"
bbp_bp,unitless,"Ratio of the backscattering coefficient of particles (bbp) to the total backscattering coefficient (bp)"
bbw,1/m,"Backscattering coefficient of water"
BChl_a,mg/m^3,"HPLC Bacteriochlorophyll a"
benthic_type,none,"Description of the benthic seafloor community or substrate."
beta-beta-Car,mg/m^3,"HPLC Beta-Carotene (Beta,beta-Carotene)"
beta-epi-Car,mg/m^3,"HPLC Alpha-Carotene (Beta,epsilon-Carotene)"
beta-psi-Car,mg/m^3,"HPLC Gamma-Carotene (Beta,psi-Carotene)"
bin_depth,m,"Nominal or center depth for each data bin"
bincount,none,"Number of records averaged into a bin or reported measurement"
bottle,none,"Number used to identify a specific bottle within an array of bottle samples collected"
bp,1/m,"Scattering coefficient of particles"
BSi,mmol/m^3,"Biogenic silica"
But-fuco,mg/m^3,"HPLC 19'-Butanoyloxyfucoxanthin"
bw,1/m,"Scattering coefficient of water"
c,1/m,"Beam attenuation coefficient"
